
""
"Kontostand vom 08.08.2023:";"2893,89 EUR"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"07.08.23";"08.08.23";"Gebucht";"ISSUER";"STARBUCKS COFFEE";"2023-08-06 Debitk.17 VISA Debit";"Ausgang";"DE212005000000123456000";"-3,2";"";"";"483221745508241"
"06.08.23";"06.08.23";"Gebucht";"Hannes Grünbaum";"JOHN'S GROCERY STORE";"Groceries for the week";"Ausgang";"DE212005000000123456000";"-32,5";"";"";"483221735430194"
"05.08.23";"05.08.23";"Gebucht";"ISSUER";"UBER BV";"2023-08-04 Debitk.23 VISA Debit";"Ausgang";"DE212005000000123456000";"-18,7";"";"";"483221741953579"
"04.08.23";"04.08.23";"Gebucht";"Alice Foobar";"UTILITIES COMPANY";"Electricity bill for July";"Ausgang";"DE212005000000123456000";"-55,8";"";"";"483221731186537"
"03.08.23";"03.08.23";"Gebucht";"ISSUER";"AIRBNB";"2023-07-31 Debitk.23 VISA Debit";"Ausgang";"DE212005000000123456000";"-120,0";"";"";"483221727956810"
"01.08.23";"01.08.23";"Gebucht";"Detlev Hellmond";"self";"Web development project payment";"Eingang";"DE212005000000123456000";"500,0";"";"";"1cd9147c040b441abc2fb0ce55ed43b1"
"31.07.23";"31.07.23";"Gebucht";"ISSUER";"NETFLIX";"2023-07-29 Debitk.23 VISA Debit";"Ausgang";"DE212005000000123456000";"-12,9";"";"";"483221715480692"
"30.07.23";"30.07.23";"Gebucht";"Alice Foobar";"LOCAL RESTAURANT";"Dinner with friends";"Ausgang";"DE212005000000123456000";"-45,3";"";"";"483221702950174"
"29.07.23";"29.07.23";"Gebucht";"ISSUER";"APPLE ITUNES STORE";"2023-07-28 Debitk.23 VISA Debit";"Ausgang";"DE212005000000123456000";"-6,9";"";"";"483221704751363"
"28.07.23";"28.07.23";"Gebucht";"Hannes Grünbaum";"self";"Monthly consulting fee";"Eingang";"DE212005000000123456000";"800,0";"";"";"1cd9147c040b441abc2fb0ce55ed43b1"
